year,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Y31,Y32,Y33,Y34,Y35,Y36,Y37,Y38,Y39,Y40,Y41,Y42,Y43,Y44,Y45,Y46,Y47,Y48,Y49,Y50,Y51,Y52,Y53,Y54,Y55,Y56,Y57,Y58,Y59,Y60,Y61,Y62,Y63,Y64,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y100,Y101,Y102,Y103,Y104,Y105,Y106,Y107,Y108,Y109,Y110,Y111,Y112,Y113,Y114,Y115,Y116,Y117,Y118,Y119,Y120,Y121,Y122,Y123,Y124,Y125
2011,89.55979264,88.78946938,87.71079084,86.62555362,85.53199421,84.44441238,83.34755333,82.26165516,81.16030633,80.06332578,78.96647585,77.86034187,76.76570041,75.67120266,74.58068267,73.48869338,72.39214134,71.30489643,70.20908079,69.11615162,68.03800712,66.95000583,65.86422461,64.7808084,63.70578224,62.6048411,61.52554423,60.4378884,59.35979479,58.28188084,57.19737079,56.11937884,55.04819112,53.97360348,52.89913056,51.82329875,50.75214988,49.67633371,48.60297612,47.53667682,46.46435287,45.3983286,44.34468379,43.30360989,42.24924794,41.20373965,40.14844269,39.12161676,38.07928953,37.04691685,36.01804818,35.00003461,33.9805247,32.97779869,31.96895485,30.97430173,29.99724545,29.00014933,28.04193588,27.08191628,26.14386574,25.18469885,24.29050617,23.36259492,22.44812941,21.56371088,20.62790622,19.73698252,18.88331373,18.01996202,17.1604326,16.3212851,15.51126868,14.75766546,13.97404061,13.21812463,12.44872709,11.70061656,10.97332165,10.29332352,9.600794081,8.994578515,8.379311448,7.783300795,7.257525339,6.743313469,6.278615217,5.829234291,5.397905417,4.982649116,4.58543489,4.303743844,4.08843193,3.678078819,3.365242231,3.108663656,2.926615606,2.702902688,2.514765996,2.364268584,2.240056636,2.036828595,1.953386595,1.839924309,1.79514771,1.577640723,1.832358922,1.586190536,1.663337941,1.019748914,0.95,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2012,89.66128852,88.8894609,87.81647645,86.72422286,85.63497544,84.54064023,83.45107786,82.353901,81.26521599,80.16560299,79.06789228,77.96995008,76.86702398,75.77230962,74.67739335,73.58744526,72.49536224,71.4017246,70.3171823,69.22230158,68.13107385,67.0506464,65.96599873,64.87903162,63.7970211,62.72134411,61.62212625,60.5431595,59.45828923,58.37853927,57.30122386,56.21843965,55.14344097,54.07265164,53.00012489,51.92803643,50.85471935,49.78351979,48.70800474,47.63874795,46.57498083,45.5059342,44.44423366,43.39259683,42.35482584,41.30178848,40.26166241,39.21405051,38.18174727,37.14720814,36.11942886,35.09665994,34.08563815,33.06965024,32.07370308,31.07070689,30.07786012,29.10866611,28.12090419,27.15799007,26.21721392,25.28485159,24.32853989,23.43997789,22.52105115,21.61559196,20.73404582,19.81337383,18.93357095,18.08666194,17.23287166,16.39176724,15.56035986,14.76992458,14.01520042,13.25552791,12.51133849,11.75806275,11.03272887,10.32199911,9.658325166,8.990787399,8.402956203,7.814350782,7.245068777,6.737637791,6.246484604,5.812233797,5.381238771,4.979565029,4.582886252,4.21618788,3.949885499,3.754134733,3.362451231,3.081525285,2.865010461,2.680742395,2.487944143,2.303889256,2.178503101,2.06650474,1.909565133,1.812660898,1.740602689,1.612215428,1.442311498,1.497176053,1.365775866,1.446144779,0.766055046,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2013,89.78082927,88.98513858,87.91281465,86.82614961,85.73429715,84.64270436,83.54982403,82.45832075,81.36061084,80.27105575,79.17057474,78.0735625,76.97495668,75.87358921,74.77838582,73.68388366,72.59624522,71.50327157,70.41396232,69.32812143,68.23583622,67.14543755,66.06372582,64.97876136,63.8940223,62.81154155,61.73743433,60.63651313,59.56069699,58.47814457,57.39758167,56.32084494,55.24075243,54.16603853,53.09729064,52.02815333,50.95494874,49.88082731,48.81502343,47.74383415,46.67796719,45.61506132,44.54771842,43.49087634,42.43938922,41.4060716,40.36012869,39.31943983,38.27782743,37.24648982,36.22028896,35.19538075,34.1802985,33.17349313,32.1637799,31.16846589,30.17590163,29.18839405,28.22114163,27.2476295,26.29423567,25.3544758,24.43146133,23.48230749,22.59545674,21.68314062,20.78781485,19.91490985,19.0118506,18.13255061,17.3001827,16.46196743,15.62556835,14.81873693,14.0383133,13.29864621,12.5522423,11.82545702,11.08957197,10.3826841,9.695147822,9.057987591,8.412750203,7.839277114,7.285826195,6.745975251,6.258258813,5.800474113,5.379417127,4.978867127,4.61473129,4.243609043,3.894286961,3.662485912,3.469045323,3.099966897,2.838134376,2.682164408,2.479259909,2.31763515,2.156158529,2.036094422,1.957061954,1.778799299,1.694025315,1.648342365,1.517320145,1.313152463,1.220932865,1.19032431,0.982014388,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2014,89.86291066,89.09203694,88.01138318,86.92539829,85.8358878,84.74244843,83.64944139,82.55599792,81.4638904,80.36607507,79.27634037,78.17732509,77.07983097,75.97987544,74.87982611,73.78682843,72.69345543,71.60586057,70.51331678,69.42723292,68.34085879,67.24951268,66.15896977,65.07751136,63.99267496,62.90748999,61.82759647,60.7537446,59.65391205,58.58085512,57.49517738,56.42081102,55.34466765,54.26498951,53.19003125,52.12532542,51.05771554,49.98677683,48.91140558,47.8476775,46.78544556,45.71583043,44.65821487,43.59287533,42.54063628,41.49493462,40.45911682,39.41552627,38.38286934,37.34165436,36.31926643,35.29782014,34.27550602,33.26593056,32.26479733,31.26025722,30.27518611,29.28743776,28.30739588,27.34263812,26.37243288,25.42627454,24.50019914,23.58224454,22.64078934,21.75690016,20.8562089,19.96595057,19.10587374,18.21311301,17.34175759,16.52323657,15.69303059,14.87518828,14.0885406,13.32090166,12.59575863,11.86386252,11.15719075,10.4349181,9.75186812,9.087621125,8.469427867,7.854040718,7.300476081,6.783944333,6.276347517,5.796507926,5.37937065,4.970725747,4.607539205,4.266777653,3.928961884,3.598207234,3.40229613,3.221442144,2.881689495,2.665994188,2.501040455,2.304179888,2.183419627,2.023117721,1.882836403,1.865908268,1.718102414,1.64335106,1.610961933,1.420580613,1.102620874,1.293275218,0.875609756,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2015,89.97908154,89.18736089,88.11069326,87.02337792,85.93514944,84.84219114,83.74850773,82.65627682,81.56315161,80.46936655,79.37167034,78.28153269,77.18121053,76.08347641,74.98865327,73.88848199,72.79652898,71.70695336,70.61754078,69.52755734,68.44187597,67.35386874,66.26442856,65.17454723,64.09355312,63.00784638,61.92307703,60.84439693,59.76830955,58.6747069,57.60056576,56.51539315,55.44549918,54.36764276,53.29215342,52.21894094,51.15572382,50.09034655,49.01868614,47.94901652,46.88325311,45.82995403,44.76106545,43.70650655,42.64586389,41.59368943,40.55351964,39.5190947,38.47758011,37.44864729,36.40864925,35.3975371,34.37885154,33.3611781,32.35374494,31.35715322,30.36264055,29.38166183,28.40387761,27.42509404,26.46620297,25.5095913,24.56887572,23.64832466,22.73658097,21.80708826,20.92541253,20.02613611,19.14710604,18.30350324,17.42002571,16.5622389,15.75646208,14.94181891,14.13443682,13.3634324,12.61294977,11.90235018,11.1874386,10.48795725,9.793230432,9.132680885,8.484436279,7.891769991,7.303039994,6.778106699,6.277066525,5.801610727,5.347488554,4.944871349,4.568151081,4.236137317,3.902444502,3.594205233,3.269551973,3.108823388,2.951534561,2.635723105,2.432333856,2.286934678,2.097512045,1.95099583,1.862404538,1.730789376,1.701938329,1.573895645,1.498701259,1.421446079,1.462045548,1.072355613,0.681818182,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2016,90.07299182,89.28050733,88.21049669,87.12138714,86.03236191,84.94195635,83.84752724,82.7542502,81.66299636,80.56933269,79.47431959,78.37606886,77.28530058,76.18636907,75.09241862,73.99662154,72.89987466,71.80743065,70.71786367,69.63185364,68.54346332,67.45618482,66.36630668,65.2771207,64.18962122,63.10584495,62.02332135,60.94130915,59.8600769,58.78531115,57.69655038,56.62251804,55.53631839,54.47152031,53.39280113,52.31861524,51.24981479,50.19011611,49.12684313,48.05657615,46.98958203,45.92748803,44.87018463,43.81091475,42.7539837,41.69881787,40.65354377,39.61593117,38.58192775,37.54707556,36.51982189,35.48608689,34.4780601,33.46429845,32.4574055,31.4509627,30.45940331,29.4696937,28.49341208,27.51956746,26.55603636,25.60527419,24.65140705,23.71915909,22.80847286,21.89722381,20.97728211,20.10553691,19.21566326,18.35156331,17.50782278,16.64508902,15.79902324,15.00181115,14.21193371,13.41971731,12.6603717,11.92861646,11.22404431,10.53090979,9.855003346,9.190660118,8.555835336,7.929908828,7.363238174,6.806411257,6.302113586,5.828666563,5.383884968,4.967455274,4.592518108,4.250744562,3.928956876,3.631233677,3.34766261,3.055650256,2.891778846,2.755112565,2.477790512,2.293898761,2.171615298,1.997989015,1.879382584,1.784748744,1.68030192,1.626185058,1.5408447,1.515386334,1.280421236,1.312696349,0.962686567,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2017,90.15972984,89.39395143,88.30418807,87.22386033,86.12990211,85.04012481,83.94759541,82.85340081,81.7586406,80.66609319,79.5752,78.47876382,77.38254801,76.29030376,75.19275175,74.10075721,73.00591533,71.91022867,70.81770762,69.73315699,68.64463501,67.55797345,66.47292408,65.38123036,64.29110403,63.20631321,62.12146236,61.03868962,59.96018222,58.88052007,57.80504469,56.72022169,55.64616741,54.56434577,53.49872162,52.42176037,51.34897652,50.28244736,49.22259157,48.16133581,47.09594265,46.03201173,44.97372804,43.91659768,42.86149211,41.81101973,40.76139802,39.71552691,38.68269292,37.6485,36.61720393,35.59550506,34.57107577,33.56564272,32.55561889,31.55499203,30.5571447,29.57168116,28.58809315,27.61671235,26.65361071,25.69122159,24.74725878,23.8103943,22.87933783,21.97468417,21.06688281,20.16639736,19.29523336,18.41010601,17.5636034,16.72514504,15.88228509,15.05320125,14.26573178,13.48095977,12.7061365,11.97936315,11.25449803,10.57207757,9.883801387,9.238473203,8.585954357,7.981446031,7.387189589,6.841296672,6.313860421,5.837575169,5.390625997,4.970423407,4.586457729,4.233116433,3.914939514,3.616502681,3.333795819,3.062191365,2.80058534,2.663851272,2.533254371,2.260343291,2.097951787,1.990016156,1.867158743,1.700789356,1.626239764,1.567961638,1.394704596,1.445185176,1.174825429,1.406802402,1.081699346,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2018,90.24959267,89.47842569,88.4088286,87.31694588,86.23164427,85.13676065,84.04672463,82.95416965,81.85897328,80.76440058,79.66975011,78.57849799,77.48542064,76.38933576,75.29564553,74.20031715,73.10764822,72.01751841,70.92176122,69.83226991,68.74601121,67.65755512,66.57109408,65.48561652,64.39622172,63.30313473,62.22067279,61.13728731,60.05440362,58.97771732,57.89716986,56.82386344,55.74317036,54.67132016,53.59289239,52.52404473,51.45211638,50.38280912,49.32238692,48.25657603,47.20105349,46.1389532,45.07864412,44.02056323,42.9672956,41.9162141,40.8669324,39.82165903,38.78022025,37.75006317,36.72079565,35.69620691,34.67746987,33.66155604,32.6568553,31.65092352,30.65309611,29.66341858,28.67841334,27.70580451,26.74017283,25.78484607,24.83258483,23.89591206,22.97091373,22.04508504,21.1434397,20.2474189,19.35603148,18.48966018,17.61918663,16.77908327,15.94459033,15.12649872,14.31669673,13.5339796,12.77493203,12.02187685,11.30354694,10.6068687,9.932201739,9.262620465,8.637450394,8.012096149,7.435063755,6.874917809,6.347730877,5.854647513,5.398060418,4.987564565,4.587544217,4.232292619,3.912126903,3.612800329,3.335187306,3.076618368,2.843430489,2.604628599,2.443781249,2.324082322,2.087913961,1.921597773,1.80661873,1.726747488,1.597811267,1.485826147,1.503890461,1.324459475,1.256954552,1.214128763,1.627843261,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2019,90.38560437,89.56759687,88.49979944,87.41611698,86.32610501,85.23579156,84.1451877,83.053012,81.95901973,80.86465442,79.76986269,78.67593982,77.58315707,76.4895062,75.39537434,74.30235626,73.21028398,72.11883806,71.02825014,69.93784634,68.84744659,67.75880116,66.67262491,65.58672992,64.49933519,63.41082038,62.32213645,61.23608648,60.15463804,59.0752284,57.99631969,56.91904591,55.84379879,54.76970489,53.69666393,52.62528353,51.55469688,50.48573559,49.42087826,48.3592079,47.29807625,46.23864746,45.18151273,44.12568052,43.07340761,42.02430756,40.9763529,39.93118379,38.89085751,37.85528836,36.82388459,35.79799463,34.77880321,33.76419411,32.75347698,31.74907628,30.7521078,29.76223899,28.77918287,27.80320955,26.83527157,25.87636255,24.92637927,23.98584884,23.0560262,22.13600429,21.22496963,20.32387338,19.43425306,18.55700329,17.69258897,16.84185114,16.00559175,15.18527629,14.3815052,13.59442542,12.82583876,12.07797576,11.3531438,10.65186415,9.971877816,9.311849423,8.672948919,8.057500742,7.467750312,6.906708467,6.377577609,5.882362091,5.422152865,4.996659729,4.60490581,4.245554092,3.916553652,3.61544201,3.338849117,3.082573106,2.842898565,2.619601467,2.414331488,2.226755112,2.055647258,1.899694716,1.757435872,1.629391168,1.513516245,1.403292385,1.304211435,1.212944624,1.135621217,1.060800094,0.979266724,0.863219246,0.770833333,0.75,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2020,90.47941906,89.66141675,88.59429314,87.51255662,86.42317851,85.33234605,84.24162338,83.15067108,82.05797886,80.96349214,79.86884106,78.77403102,77.6804815,76.58832422,75.49554648,74.40246574,73.31050535,72.21968999,71.12942682,70.03973956,68.95000989,67.86001682,66.77157228,65.6854818,64.59972677,63.51264326,62.4246994,61.336857,60.25187817,59.17180649,58.09393102,57.0165872,55.94090171,54.86722982,53.79478753,52.72349343,51.6539711,50.58546517,49.51877519,48.45626028,47.3970077,46.33837907,45.28148785,44.22689062,43.17364211,42.12405658,41.0778547,40.0330554,38.99129677,37.95466324,36.92308743,35.89588483,34.87433643,33.85966434,32.84980219,31.84421381,30.84534303,29.85428116,28.87061036,27.89397926,26.92463579,25.96340421,25.0112764,24.06810708,23.1344298,22.21163836,21.29898201,20.3958593,19.50329158,18.62281753,17.75550673,16.90195366,16.06300078,15.23951292,14.43300824,13.64405531,12.87265636,12.12044981,11.38962329,10.6824389,9.99956183,9.339102151,8.700135571,8.084157113,7.49349855,6.93020317,6.396915458,5.896203908,5.429587838,4.997828843,4.600105801,4.235122859,3.901493261,3.596803714,3.318030712,3.060874858,2.821333316,2.598116811,2.392317819,2.204762993,2.0337767,1.877813032,1.735815056,1.606282535,1.490478736,1.386060973,1.285493224,1.188642081,1.107224091,1.047198277,1.020135789,0.974702381,0.708333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2021,90.57903752,89.75555096,88.68823456,87.60699907,86.51952007,85.42933702,84.33815413,83.24704096,82.15560629,81.06247016,79.96769893,78.8730603,77.77856923,76.68557639,75.59433259,74.50266961,73.4106345,72.31987297,71.23023044,70.14077943,69.05176494,67.96255243,66.87282932,65.78448595,64.69852253,63.61307993,62.52661731,61.43953115,60.35276987,59.26927365,58.19082164,57.11452631,56.03882051,54.96477024,53.89275075,52.82209544,51.75273915,50.68535525,49.61917192,48.55490088,47.49486015,46.43812972,45.38205452,44.32770981,43.2756705,42.22512519,41.17845211,40.13538264,39.09402603,38.05599697,37.02335523,35.99601266,34.97323213,33.95628624,32.94641058,31.94174605,30.94181092,29.94895876,28.96420905,27.98708743,27.01718698,26.05465301,25.10033947,24.15521289,23.21912139,22.29265457,21.3773793,20.4728295,19.57841205,18.69514777,17.82474434,16.96841869,16.12682282,15.30082028,14.49135591,13.69991175,12.92688129,12.17216781,11.43739937,10.72476778,10.03658977,9.373672927,8.734554933,8.118799745,7.527983387,6.964208902,6.429247162,5.925197421,5.454064068,5.017004531,4.614164422,4.24430361,3.906103772,3.597790497,3.31629184,3.057604796,2.817702695,2.594995174,2.389678966,2.20206438,2.031471368,1.875784773,1.73391575,1.604991369,1.487689018,1.38398948,1.290255212,1.199958511,1.097674325,0.990505923,1.019393601,1.0625,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2022,90.67782133,89.84929688,88.78186787,87.70069328,86.61375378,85.52545543,84.43501114,83.34338999,82.25180211,81.16001206,80.06659871,78.97184031,77.87750035,76.78351008,75.69139424,74.60129036,73.51068511,72.41978811,71.3301971,70.24133057,69.15249601,68.06406348,66.97514003,65.885506,64.79727631,63.71158164,62.62673913,61.54120446,60.45530924,59.36996528,58.28804729,57.21123816,56.13661824,55.06258105,53.99014168,52.9199214,51.85130532,50.78405378,49.71894341,48.65520186,47.59341189,46.53588098,45.48162683,44.42803426,43.37624449,42.32685005,41.27910528,40.23550758,39.19583048,38.15808725,37.12396857,36.09552379,35.07256852,34.05433877,33.04216735,32.03748184,31.03842678,30.04445239,29.05785585,28.07963408,27.10922227,26.14609952,25.19043842,24.24309183,23.30505113,22.37619987,21.45731259,20.55017468,19.65429453,18.76912503,17.89584863,17.0363398,16.19186155,15.36309407,14.55099709,13.75650876,12.98089477,12.22440454,11.48703661,10.77048882,10.07700989,9.408909822,8.76727641,8.151179083,7.560369433,6.996246414,6.460612058,5.954822783,5.480479547,5.039191865,4.631495435,4.256992445,3.914371715,3.601953632,3.31725077,3.056146712,2.814820979,2.591761147,2.387032271,2.199968596,2.029246658,1.874044496,1.732538508,1.603096335,1.486343502,1.380209336,1.286775823,1.204279143,1.10803597,0.958140998,0.88856456,0.9640625,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2023,90.77648886,89.94257612,88.87486251,87.79407879,86.70735598,85.61962947,84.53106869,83.44016853,82.34802195,81.2560806,80.16405194,79.07066162,77.97619962,76.88234105,75.7891684,74.69814468,73.60911695,72.51960784,71.42982602,70.34107143,69.25289974,68.16460186,67.07638211,65.98756495,64.89803629,63.81006309,62.72496228,61.64106851,60.55673365,59.47220647,58.38845903,57.3082817,56.23317612,55.16024187,54.08785703,53.0172183,51.94902008,50.88249319,49.81753458,48.75483772,47.6935306,46.63425568,45.57920309,44.52739512,43.47628746,42.42707919,41.38043635,40.33571814,39.29544448,38.25929015,37.22535228,36.19536793,35.17126582,34.15279574,33.13932719,32.13233867,31.13322077,30.14006638,29.15232234,28.17223114,27.20068546,26.23702749,25.28073586,24.33199315,23.39171461,22.46094157,21.53972554,20.62901402,19.73053962,18.84384719,17.96861627,17.10618717,16.25842263,15.42667058,14.61171182,13.81447257,13.03570923,12.27652722,11.53725912,10.81806327,10.12068092,9.447404238,8.800749217,8.182106051,7.590743133,7.026410126,6.490249013,5.983617414,5.507494993,5.063142946,4.65151592,4.272583143,3.925754281,3.609326976,3.320943847,3.057001119,2.813505471,2.589188446,2.38411197,2.197615033,2.027559479,1.872297638,1.731445661,1.602422701,1.483629576,1.378275084,1.279620125,1.191138435,1.107520627,0.978465545,0.820913462,0.75,0.625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
